{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39782 6379 6 4 240 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 35632 17 1 292 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 52576 17 1 292 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 52576 53 17 1 80 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.23.20.27 53135 5672 6 2 112 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 56302 53 17 1 80 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 34562 53 17 1 80 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 55022 17 1 292 1569601223 1569601283 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39787 6379 6 4 240 1569601223 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.21.193.30 46106 1433 6 20 1280 1569601223 1569601823 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
