{'timestamp': 1569791936000, 'message': '2 926668386439 eni-028f9998471142aba 54.239.29.8 172.24.5.198 443 47444 6 20 7692 1569791936 1569791990 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791936000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.24.198.174 53339 53 17 1 73 1569791936 1569791990 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791936000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.198.174 172.24.5.198 53 53339 17 1 304 1569791936 1569791990 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791936000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 13.77.69.154 54312 443 6 9 1884 1569791936 1569792050 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791936000, 'message': '2 926668386439 eni-028f9998471142aba 13.77.69.154 172.24.5.198 443 54312 6 5 746 1569791936 1569792050 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791996000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.21.210.146 57209 123 17 1 76 1569791996 1569792050 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791996000, 'message': '2 926668386439 eni-028f9998471142aba 172.20.196.146 172.24.5.198 123 37122 17 1 76 1569791996 1569792050 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791996000, 'message': '2 926668386439 eni-028f9998471142aba 172.21.210.146 172.24.5.198 123 57209 17 1 76 1569791996 1569792050 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569791996000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.20.196.146 37122 123 17 1 76 1569791996 1569792050 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792110000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.20.196.146 47319 123 17 1 76 1569792110 1569792170 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792110000, 'message': '2 926668386439 eni-028f9998471142aba 172.20.196.146 172.24.5.198 123 47319 17 1 76 1569792110 1569792170 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792110000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.21.210.146 47454 123 17 1 76 1569792110 1569792170 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792110000, 'message': '2 926668386439 eni-028f9998471142aba 172.21.210.146 172.24.5.198 123 47454 17 1 76 1569792110 1569792170 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792173000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 108.59.2.24 38957 123 17 1 76 1569792173 1569792230 ACCEPT OK', 'ingestionTime': 1569792261145, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792231000, 'message': '2 926668386439 eni-028f9998471142aba 172.21.210.146 172.24.5.198 123 48201 17 1 76 1569792231 1569792290 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
