{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 50217 53 17 1 73 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 42940 53 17 1 73 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 60704 53 17 1 72 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 36349 17 1 291 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 55532 17 1 288 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 44472 17 1 163 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 38186 53 17 1 72 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 53323 53 17 1 80 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 43737 53 17 1 80 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 34163 53 17 1 73 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 60704 17 1 291 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 40406 17 1 163 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
