{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36811 6 13 2617 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36808 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36806 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36770 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36772 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36730 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36776 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 52.94.235.128 49529 443 6 14 3141 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36760 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36768 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
