{'timestamp': 1569799194000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 44646 53 17 1 61 1569799194 1569799253 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 51164 17 1 296 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 6066 53 17 1 61 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 46188 17 1 296 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 6066 17 1 296 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 65278 17 1 296 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 65278 53 17 1 61 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 51164 53 17 1 61 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799254000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 46188 53 17 1 61 1569799254 1569799313 ACCEPT OK', 'ingestionTime': 1569799335254, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 45261 53 17 1 61 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 34382 17 1 296 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 26751 53 17 1 61 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 45261 17 1 296 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
