{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39443 35677 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39444 5432 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39450 636 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 445 39447 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 111 39443 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39443 120 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 35677 39443 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 20001 17 1 29 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1039 17 2 58 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39453 22 6 2 84 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
