{'timestamp': 1569511935000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.23.20.27 44607 5672 6 2 112 1569511935 1569511976 ACCEPT OK', 'ingestionTime': 1569512177208, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569511935000, 'message': '2 858737304353 eni-614fef78 172.23.20.27 172.22.3.175 5672 44607 6 2 112 1569511935 1569511976 ACCEPT OK', 'ingestionTime': 1569512177208, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569511935000, 'message': '2 858737304353 eni-614fef78 172.20.196.146 172.22.3.175 123 123 17 1 76 1569511935 1569511976 ACCEPT OK', 'ingestionTime': 1569512177208, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569511996000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.21.210.146 123 123 17 1 76 1569511996 1569512036 ACCEPT OK', 'ingestionTime': 1569512177208, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569511996000, 'message': '2 858737304353 eni-614fef78 172.21.210.146 172.22.3.175 123 123 17 1 76 1569511996 1569512036 ACCEPT OK', 'ingestionTime': 1569512177208, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512111000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 2 635 1569512111 1569512156 ACCEPT OK', 'ingestionTime': 1569512177297, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512111000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 1 401 1569512111 1569512156 ACCEPT OK', 'ingestionTime': 1569512177297, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512169000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 10 3175 1569512169 1569512456 ACCEPT OK', 'ingestionTime': 1569512777122, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512169000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 5 2005 1569512169 1569512456 ACCEPT OK', 'ingestionTime': 1569512777122, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512229000, 'message': '2 858737304353 eni-614fef78 172.23.20.27 172.22.3.175 5672 44607 6 1 52 1569512229 1569512276 ACCEPT OK', 'ingestionTime': 1569512777122, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512229000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.23.20.27 44607 5672 6 1 60 1569512229 1569512276 ACCEPT OK', 'ingestionTime': 1569512777122, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512463000, 'message': '2 858737304353 eni-614fef78 172.20.196.146 172.22.3.175 123 123 17 1 76 1569512463 1569512516 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512463000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.196.146 123 123 17 1 76 1569512463 1569512516 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512463000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 6 1784 1569512463 1569512696 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512463000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 8 2540 1569512463 1569512696 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512531000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.23.20.27 44607 5672 6 2 112 1569512531 1569512576 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512531000, 'message': '2 858737304353 eni-614fef78 172.21.210.146 172.22.3.175 123 123 17 1 76 1569512531 1569512576 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512531000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.21.210.146 123 123 17 1 76 1569512531 1569512576 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512531000, 'message': '2 858737304353 eni-614fef78 172.23.20.27 172.22.3.175 5672 44607 6 2 112 1569512531 1569512576 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512579000, 'message': '2 858737304353 eni-614fef78 172.24.195.201 172.22.3.175 389 60150 6 1 40 1569512579 1569512636 ACCEPT OK', 'ingestionTime': 1569512777495, 'hostname': 'box-provider-haarp-1'}
