{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41521 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41488 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41486 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41517 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41487 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41494 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41538 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41480 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41531 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41505 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41523 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41542 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41493 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41532 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41548 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41549 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41496 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41548 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 172.20.192.31 41552 11104 6 12 3004 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41492 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41532 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41497 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41574 6 16 4586 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41522 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41507 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.20.192.31 172.24.3.248 11104 41745 6 4 1416 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41528 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 172.20.192.31 41745 11104 6 7 1736 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41525 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41490 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41526 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41484 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41518 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41502 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41512 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41551 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41504 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41545 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41510 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41515 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41539 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41537 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41503 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41505 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41508 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
