{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.24.198.174 41544 53 17 2 158 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55703 6 6 339 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55624 6557 6 7 2474 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55645 6557 6 7 2405 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54612 6 7 391 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55683 6557 6 6 749 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 22 51425 6 6 1996 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55654 6 6 339 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.198.174 172.24.225.111 53 41544 17 2 401 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55624 6 6 339 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54555 6557 6 8 2370 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54552 6557 6 7 715 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54530 6557 6 7 621 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55696 6557 6 6 607 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55693 6557 6 6 436 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.24.198.174 43934 53 17 2 158 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.198.174 172.24.225.111 53 37005 17 1 288 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
