{'timestamp': 1569837207000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.192.26 58879 5722 6 9 2772 1569837207 1569837385 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 1121 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 52.94.225.93 58899 443 6 13 2941 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64842 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.195.201 172.24.227.218 49156 58889 6 4 591 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 162.247.242.5 58880 443 6 11 1847 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64882 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 64778 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64506 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.192.25 58663 53 17 1 73 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 1143 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
