{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42230 6 8 4182 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42361 6 9 5874 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 37912 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 39865 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42378 80 6 7 521 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42350 6 8 4182 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42461 6 12 10090 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42274 6 8 4182 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 36458 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 39165 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
