{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52822 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52442 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 53660 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50616 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50888 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51348 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50998 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52728 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52194 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 54018 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52152 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 162.247.242.5 54101 443 6 11 1835 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.196.25 59097 53 17 1 73 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
