{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.196.253 8080 53160 6 5 503 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.254.13 172.24.0.140 49512 8080 6 34 1606 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.196.250 172.24.0.140 51085 8080 6 31 3024 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.254.5 172.24.0.140 41412 8080 6 34 1606 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 162.247.242.5 172.24.0.140 443 35444 6 13 3793 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.5 8080 42392 6 28 32807 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 39565 17 1 384 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 56926 53 17 2 152 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 50079 17 1 133 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 48259 53 17 1 76 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.5 8080 43180 6 22 24317 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 54283 53 17 1 68 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.5 8080 41412 6 32 37447 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.254.13 172.24.0.140 50490 8080 6 24 1206 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.196.252 8080 55294 6 6 600 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 35682 17 1 384 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.13 8080 51272 6 20 21487 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 58118 53 17 1 68 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 35769 53 17 1 71 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.13 8080 51470 6 22 24317 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 39668 17 1 384 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.13 8080 49906 6 22 24317 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.196.251 172.24.0.140 35547 8080 6 9 1054 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.20.254.13 8080 50490 6 22 24317 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 59844 53 17 1 68 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.254.5 172.24.0.140 42198 8080 6 34 1606 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.20.254.13 172.24.0.140 51666 8080 6 24 1206 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 162.247.242.5 172.24.0.140 443 35450 6 14 3845 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 59844 17 1 133 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 50079 53 17 1 68 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 47392 53 17 1 68 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
