{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39996 14858 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38916 41641 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39144 63054 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38473 7985 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37305 48043 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38466 24161 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39781 47846 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36890 6486 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38532 53170 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39233 9843 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36894 55621 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 40064 1421 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39701 56903 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37437 43835 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37214 37497 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37071 56445 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39306 63306 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37558 6165 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38203 35846 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36545 39226 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39213 43748 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39339 24481 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38747 30680 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38564 30779 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38779 51032 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39265 17600 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37184 65417 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37286 16421 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36716 30341 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39790 633 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37804 47160 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39550 4899 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 40040 59869 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38582 55283 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
