{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 39474 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.20.213.14 172.24.7.77 45044 7990 6 5 442 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 33688 17 1 385 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 59924 53 17 1 76 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 50603 53 17 1 76 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 162.247.242.5 54437 443 6 14 2129 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 40327 17 1 261 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 52.204.252.65 172.24.7.77 443 47054 6 11 6036 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 46972 17 1 131 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 51372 17 1 385 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 38045 17 1 506 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 37033 17 1 133 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 41554 17 1 261 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 48582 17 1 136 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 45079 17 1 151 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 56574 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 49053 53 17 1 76 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 46859 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 59301 53 17 1 76 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.20.213.14 7990 45064 6 5 724 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 56637 17 1 261 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 56637 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 55233 17 1 131 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 36852 17 1 384 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 60608 53 17 1 56 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 37923 17 1 261 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 44582 53 17 2 146 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 40612 53 17 1 56 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 47118 17 1 540 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 37431 17 1 136 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 54986 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.20.213.14 172.24.7.77 44956 7990 6 5 442 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 40927 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 33413 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 59318 17 1 490 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 42781 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 49053 17 1 540 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 45844 17 1 384 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 52910 17 1 131 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.32.213 172.24.7.77 53700 7990 6 6 509 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 48252 17 1 136 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 37923 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 43709 17 1 540 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 44701 53 17 1 70 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 45035 17 1 429 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.20.213.14 172.24.7.77 48834 7990 6 5 442 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 36176 17 1 133 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 46456 17 1 429 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 49914 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 42350 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 35712 53 17 1 70 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 49718 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 51372 53 17 1 76 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.20.213.14 7990 44964 6 5 724 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 59696 53 17 1 77 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 39265 17 1 133 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.198.174 172.24.7.77 53 59696 17 1 136 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 52.3.90.126 172.24.7.77 443 37301 6 10 5984 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
{'timestamp': 1569838256000, 'message': '2 926668386439 eni-8216bd63 172.24.7.77 172.24.198.174 44893 53 17 1 68 1569838256 1569838315 ACCEPT OK', 'ingestionTime': 1569838423875, 'hostname': 'stash-plnasgit01'}
