{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.198.174 37793 53 17 2 160 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39176 443 6 25 2668 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47638 6 20 9396 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.198.174 172.24.32.195 53 37793 17 2 473 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39230 6 75 66476 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39176 6 58 35174 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47638 443 6 22 2368 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39230 443 6 47 3556 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47626 443 6 28 2440 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816577000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47626 6 82 68234 1569816577 1569816583 ACCEPT OK', 'ingestionTime': 1569816626006, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47666 443 6 42 3184 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.20.192.222 172.24.32.195 0 0 1 5 420 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39396 443 6 16 1896 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
