{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.24.198.174 172.22.4.13 53 34078 17 2 597 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.20.192.27 172.22.4.13 389 41747 6 6 491 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.22.4.13 172.20.192.26 51777 389 6 7 741 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.24.198.174 172.22.4.13 53 34581 17 2 567 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.22.4.13 172.24.198.174 34581 53 17 2 148 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.22.4.13 172.24.198.174 34078 53 17 2 178 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.24.198.174 172.22.4.13 53 59806 17 2 597 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.20.192.25 172.22.4.13 389 56665 6 5 300 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.22.4.13 172.20.192.25 56665 389 6 8 793 1569505596 1569505654 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
{'timestamp': 1569505596000, 'message': '2 858737304353 eni-8fb8e49e 172.24.195.201 172.22.4.13 389 58360 6 3 519 1569505596 1569505954 ACCEPT OK', 'ingestionTime': 1569506074905, 'hostname': 'pricing52-pricing-1'}
