{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 12307 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 43301 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 43301 17 1 298 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 48130 17 1 298 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 12883 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 36510 17 1 298 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 12307 17 1 165 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 49519 17 1 282 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 47923 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 47923 17 1 165 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 49519 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 18157 17 1 298 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 41865 17 1 165 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 18157 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 12883 17 1 165 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 48130 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 36510 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569575739000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 41865 53 17 1 62 1569575739 1569575763 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569576068000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 11563 53 17 1 62 1569576068 1569576123 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569576068000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 11563 17 1 282 1569576068 1569576123 ACCEPT OK', 'ingestionTime': 1569576141219, 'hostname': 'naaws_01'}
{'timestamp': 1569576374000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 42616 53 17 1 62 1569576374 1569576423 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576374000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 42616 17 1 298 1569576374 1569576423 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576443000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.20.194.146 172.24.7.96 123 123 17 1 76 1569576443 1569576483 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576443000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.20.194.146 123 123 17 1 76 1569576443 1569576483 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576443000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.20.196.146 172.24.7.96 123 123 17 1 76 1569576443 1569576483 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576443000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.20.196.146 123 123 17 1 76 1569576443 1569576483 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 16878 17 1 165 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 30331 17 1 298 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
