{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.20.192.187 172.23.20.72 8027 42101 6 2 104 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 54352 53 17 2 156 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 43945 17 1 283 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 33766 17 1 283 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.20.192.187 42101 8027 6 2 104 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 37631 53 17 2 156 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 43165 17 1 283 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.20.192.187 42103 8027 6 3 287 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 46767 17 2 443 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 60145 53 17 2 156 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.20.192.187 172.23.20.72 8027 42103 6 2 112 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 49196 17 1 283 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607295000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 49196 53 17 1 73 1569607295 1569607349 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 43402 17 1 283 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 44284 17 1 283 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 32917 17 1 283 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 37353 17 2 443 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 45387 53 17 1 73 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 49537 17 2 443 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 39155 53 17 2 156 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 59037 53 17 2 156 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 44413 53 17 1 73 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 53138 53 17 2 156 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 53138 17 2 443 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
