{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 54623 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 40071 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 53996 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 52134 17 1 528 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33359 443 6 12 1973 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 57919 17 1 528 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 39437 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 33063 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 47595 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 47595 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 33063 17 1 528 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 47649 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 60385 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33361 443 6 12 2011 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 38144 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 162.247.242.5 172.24.225.60 443 33364 6 13 3789 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 42881 17 1 528 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
