{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.95 172.24.0.220 48058 1433 6 30 1896 1569828964 1569829203 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.51 1433 55000 6 23 1595 1569828964 1569829203 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.65 1433 56288 6 19 1305 1569828964 1569829203 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.21.192.45 172.24.0.220 45390 1433 6 8 488 1569828964 1569829203 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.66 1433 51130 6 25 1677 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.62 172.24.0.220 35792 1433 6 18 1128 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.89 1433 51376 6 18 1096 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.66 172.24.0.220 52660 1433 6 20 1256 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.89 172.24.0.220 51376 1433 6 26 1640 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.66 1433 52660 6 16 846 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.62 1433 35792 6 14 764 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.66 172.24.0.220 51130 1433 6 39 2484 1569828964 1569829263 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.51 1433 56682 6 18 1012 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.51 172.24.0.220 56682 1433 6 24 1512 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.89 1433 54174 6 18 1012 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.89 172.24.0.220 54174 1433 6 24 1512 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.51 172.24.0.220 56768 1433 6 13 808 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.94 1433 43730 6 19 1137 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.94 1433 44990 6 17 887 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.51 1433 56768 6 13 555 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 43730 1433 6 27 1704 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.95 172.24.0.220 51218 1433 6 24 1524 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 44990 1433 6 21 1320 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.95 1433 51218 6 18 1054 1569828964 1569829323 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.89 1433 55168 6 19 969 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.51 172.24.0.220 58154 1433 6 27 1704 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.94 1433 46642 6 16 762 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
