{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.195 172.24.32.213 443 53252 6 61 35150 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.23.25.241 80 34690 6 6 933 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 44265 17 2 437 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.32.195 53252 443 6 28 2584 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7999 54374 6 24 5878 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.198.174 41704 53 17 2 144 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 39002 17 1 133 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 46279 17 1 133 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 56262 17 1 429 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 55035 17 1 385 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 60481 17 1 429 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.23.25.241 172.24.32.213 34691 80 6 30 1641 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.20.192.80 172.24.32.213 80 47930 6 66 8245 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 56002 7990 6 9 935 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.198.174 50433 53 17 1 76 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
