{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25640 2714 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26206 35824 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27018 23797 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26234 34939 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25346 27366 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.22.2.133 172.20.219.206 2383 53039 6 2 92 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27443 751 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26827 19118 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26229 1038 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27306 40239 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26767 25702 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27326 57469 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
