{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2189 19156 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3504 64039 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4540 55748 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5652 29704 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6324 55939 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6899 38299 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6059 47288 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1019 22917 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3944 26547 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5643 10505 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
