{'timestamp': 1569837602000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 44282 53 17 1 81 1569837602 1569837611 ACCEPT OK', 'ingestionTime': 1569837653264, 'hostname': 'plcrucible'}
{'timestamp': 1569837602000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 47006 53 17 1 81 1569837602 1569837611 ACCEPT OK', 'ingestionTime': 1569837653264, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 34.234.109.24 49462 443 6 2 441 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 59126 17 1 133 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 43291 17 1 133 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 52859 17 1 140 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 56688 53 17 1 81 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 50824 17 1 289 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 49811 17 1 161 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 162.247.242.5 172.24.32.138 443 50454 6 3 156 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 50824 53 17 1 72 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 162.247.242.5 172.24.32.138 443 50474 6 3 156 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.195 172.24.32.138 443 33730 6 126 63346 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 49573 17 1 528 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
