{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.20.192.187 60910 8027 6 2 104 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 40803 17 1 291 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 38005 17 2 409 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.20.192.187 60911 8027 6 3 292 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 40803 53 17 1 72 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 44820 17 2 409 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 57208 53 17 2 166 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 57208 17 2 409 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 38005 53 17 2 166 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 58323 53 17 2 166 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 46956 17 1 291 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 58323 17 2 409 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.20.192.187 172.23.20.150 8027 60910 6 2 104 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
