{'timestamp': 1569241727000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 2 152 1569241727 1569241902 ACCEPT OK', 'ingestionTime': 1569241956912, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241727000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 2 152 1569241727 1569241902 ACCEPT OK', 'ingestionTime': 1569241956912, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241848000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46411 6 2 112 1569241848 1569241902 ACCEPT OK', 'ingestionTime': 1569241956912, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241848000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46410 8027 6 2 104 1569241848 1569241902 ACCEPT OK', 'ingestionTime': 1569241956912, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241848000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46411 8027 6 3 292 1569241848 1569241902 ACCEPT OK', 'ingestionTime': 1569241956912, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241848000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46410 6 2 104 1569241848 1569241902 ACCEPT OK', 'ingestionTime': 1569241956912, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241978000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 2 152 1569241978 1569242142 ACCEPT OK', 'ingestionTime': 1569242556159, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241978000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 2 152 1569241978 1569242142 ACCEPT OK', 'ingestionTime': 1569242556159, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241978000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 2 152 1569241978 1569242142 ACCEPT OK', 'ingestionTime': 1569242556159, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569241978000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 2 152 1569241978 1569242142 ACCEPT OK', 'ingestionTime': 1569242556159, 'hostname': 'orc-ci-01-1'}
