{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44186 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44188 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57426 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57437 6 4 188 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44191 6 16 3949 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 93.100.11.229 172.22.40.101 24198 34567 6 1 40 1569835344 1569835402 REJECT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 57437 443 6 4 407 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44192 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44185 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57432 443 6 18 6753 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44185 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 57430 443 6 4 407 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44189 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 185.176.27.54 172.22.40.101 52814 24863 6 1 40 1569835344 1569835402 REJECT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57424 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 57425 443 6 2 135 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44193 443 6 14 2131 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57423 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44193 443 6 14 2131 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 57433 443 6 14 2113 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57424 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57426 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44193 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44191 443 6 18 6068 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44187 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57432 6 16 3949 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57434 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44190 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44186 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57430 443 6 4 407 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57433 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44196 443 6 14 2128 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 39.42.149.97 172.22.40.101 18136 23 6 1 44 1569835344 1569835402 REJECT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44189 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44192 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44196 443 6 14 2128 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44194 443 6 14 2107 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57423 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57433 443 6 14 2113 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57422 6 2 80 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44187 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 57419 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44188 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57419 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44191 6 16 3949 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57430 6 8 12040 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 57422 443 6 2 135 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44191 443 6 18 6068 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57430 6 4 188 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44194 443 6 14 2107 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44196 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 45.136.109.194 172.22.40.101 50588 1573 6 1 40 1569835344 1569835402 REJECT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.6.238 172.22.40.101 44190 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44190 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57425 6 2 80 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44190 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44189 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57425 6 2 80 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44195 6 16 3949 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 44186 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57419 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.5.137 172.22.40.101 57434 443 6 14 2153 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.5.137 443 57424 6 3 156 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 162.247.242.5 44188 443 6 3 187 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 172.22.40.101 172.22.6.238 443 44193 6 13 3793 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
{'timestamp': 1569835344000, 'message': '2 858737304353 eni-deaa76f5 162.247.242.5 172.22.40.101 443 57432 6 16 3949 1569835344 1569835402 ACCEPT OK', 'ingestionTime': 1569835956359, 'hostname': 'LAB-NAT-1b'}
