{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.213 172.24.49.122 52050 443 6 12 2099 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 34.234.110.188 172.24.49.122 443 36606 6 11 6028 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 162.247.242.5 172.24.49.122 443 52022 6 13 3793 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 51846 6 13 3793 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 47000 6 11 6036 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 35386 6 10 5984 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 52.73.40.153 51374 443 6 14 7774 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.22 172.24.49.122 33728 443 6 11 1968 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.22 172.24.49.122 55696 443 6 16 7738 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 36606 6 11 6028 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 34.233.213.92 54430 443 6 11 1969 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 162.247.242.5 47804 443 6 14 2126 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.213 172.24.49.122 36606 443 6 15 7118 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 162.247.242.5 172.24.49.122 443 47804 6 13 3793 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 34.202.210.128 172.24.49.122 443 32884 6 10 5984 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 52.73.40.153 172.24.49.122 443 51166 6 10 5984 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 162.247.242.5 172.24.49.122 443 50856 6 16 3949 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 34.234.110.188 44580 443 6 11 3741 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 34202 6 11 6036 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.36.195 172.24.49.122 47804 443 6 14 2126 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.213 172.24.49.122 41932 443 6 13 3631 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.22 443 55668 6 10 5984 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.33.13 443 50492 6 19 6832 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 40268 6 10 5984 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 80 55892 6 7 3862 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 52.202.101.86 35386 443 6 11 1824 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.138 443 50842 6 12 3717 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.36.195 443 47803 6 13 3793 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 162.247.242.5 172.24.49.122 443 47801 6 16 3949 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 162.247.242.5 172.24.49.122 443 51966 6 13 3793 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 54.173.196.157 55696 443 6 16 7738 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 162.247.242.5 47802 443 6 14 2121 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 52.94.238.156 50492 443 6 15 3181 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 52.21.180.137 172.24.49.122 443 33728 6 10 5984 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.22 443 44212 6 11 6036 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.22 172.24.49.122 37924 443 6 13 3862 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 34.234.110.188 36606 443 6 15 7118 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 34.234.110.188 172.24.49.122 443 44588 6 11 6036 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.213 443 52022 6 13 3793 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 104.25.109.97 172.24.49.122 80 55892 6 7 3862 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 172.24.32.22 443 43130 6 12 6080 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.32.213 172.24.49.122 46020 443 6 10 1773 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
{'timestamp': 1569838113000, 'message': '2 926668386439 eni-b43db1e5 172.24.49.122 162.247.242.5 51966 443 6 12 2088 1569838113 1569838173 ACCEPT OK', 'ingestionTime': 1569838499373, 'hostname': 'NAT-1B'}
