{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 34808 17 1 137 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 34808 53 17 1 78 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 47724 17 2 409 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 41840 17 2 409 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.192.187 172.23.25.159 8027 56444 6 2 112 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.192.187 172.23.25.159 8027 56440 6 2 104 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 47724 53 17 2 166 1569804128 1569804188 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.81 7472 47266 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.132 172.23.25.159 37008 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.192.250 7472 56474 6 28 15616 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.91 172.23.25.159 39429 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.214.213 172.23.25.159 53459 7472 6 28 15520 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.206 7472 58707 6 28 15648 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.206 172.23.25.159 58707 7472 6 28 15808 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.212 172.23.25.159 44804 7472 6 28 15744 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.194 7472 41859 6 28 15680 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
