{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38702 6 2 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38712 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38686 6 2 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38712 6 2 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38774 3306 6 790 233840 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38706 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38702 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38740 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38716 3306 6 3 161 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38772 3306 6 3 161 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38704 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38742 6 2 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48826 3306 6 2 164 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38740 6 2 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38770 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38770 6 2 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38728 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38686 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833004000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38708 3306 6 5 319 1569833004 1569833019 ACCEPT OK', 'ingestionTime': 1569833057815, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833021000, 'message': '2 926668386439 eni-841c2dd5 18.220.194.52 172.24.32.109 443 33660 6 1 401 1569833021 1569833029 ACCEPT OK', 'ingestionTime': 1569833069096, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833021000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 52686 6 5 394 1569833021 1569833029 ACCEPT OK', 'ingestionTime': 1569833069096, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833021000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 52686 3306 6 7 464 1569833021 1569833029 ACCEPT OK', 'ingestionTime': 1569833069096, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833021000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 18.220.194.52 33660 443 6 2 635 1569833021 1569833029 ACCEPT OK', 'ingestionTime': 1569833069096, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48874 3306 6 9 1742 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48874 6 7 2419 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39064 6 1144 464747 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48838 3306 6 2 164 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48838 6 1 273 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39168 3306 6 107 21668 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39064 3306 6 1196 204623 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833049000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39168 6 101 34006 1569833049 1569833061 ACCEPT OK', 'ingestionTime': 1569833088801, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48814 6 7 2419 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48814 3306 6 9 1742 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48818 3306 6 9 1742 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48818 6 7 2419 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
