{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.32.213 833 2049 6 13 1544 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.213 172.24.32.22 2049 833 6 7 1008 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 34.233.213.92 40976 443 6 12 3823 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 46918 17 1 429 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.32.213 35188 54663 6 2 1469 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 52824 53 17 1 80 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 34.233.213.92 172.24.32.22 443 40950 6 11 6036 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 52.0.157.143 35766 443 6 10 1917 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 44857 53 17 1 76 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.213 172.24.32.22 54663 35188 6 1 67 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 47700 53 17 1 76 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 34.233.213.92 40950 443 6 10 1773 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 3.227.84.245 172.24.32.22 443 51746 6 7 1886 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 34.234.200.241 172.24.32.22 443 33306 6 10 5984 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 54355 17 1 429 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 52.94.227.224 38794 443 6 11 2016 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836099000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 46576 17 1 385 1569836099 1569836115 ACCEPT OK', 'ingestionTime': 1569836150311, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 38103 17 1 429 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 41862 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 51439 17 1 385 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 34.234.200.241 33316 443 6 14 7580 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 44034 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 47925 17 1 429 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 54.209.55.91 172.24.32.22 443 39122 6 11 6036 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.213 172.24.32.22 54663 35216 6 1 67 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 38103 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 51439 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 51822 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.32.213 35216 54663 6 2 1467 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 44034 17 1 429 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 54535 17 1 385 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 51822 17 1 385 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 41862 17 1 429 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 47925 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 34.234.200.241 172.24.32.22 443 33316 6 12 6080 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 54535 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 39931 17 1 385 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 54.209.55.91 39122 443 6 11 1823 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836117000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 172.24.198.174 39931 53 17 1 76 1569836117 1569836127 ACCEPT OK', 'ingestionTime': 1569836162822, 'hostname': 'plnasbam02'}
{'timestamp': 1569836127000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 38900 17 1 429 1569836127 1569836143 ACCEPT OK', 'ingestionTime': 1569836173910, 'hostname': 'plnasbam02'}
{'timestamp': 1569836127000, 'message': '2 926668386439 eni-bd6180ed 172.24.32.22 54.173.196.157 53524 443 6 10 1917 1569836127 1569836143 ACCEPT OK', 'ingestionTime': 1569836173910, 'hostname': 'plnasbam02'}
{'timestamp': 1569836127000, 'message': '2 926668386439 eni-bd6180ed 172.24.198.174 172.24.32.22 53 42013 17 1 385 1569836127 1569836143 ACCEPT OK', 'ingestionTime': 1569836173910, 'hostname': 'plnasbam02'}
