{'timestamp': 1569692401000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 52073 6 6 362 1569692401 1569692460 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692401000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 41315 6 6 487 1569692401 1569692460 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692401000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 52073 389 6 8 840 1569692401 1569692460 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 34.234.109.24 44231 443 6 2 135 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 53203 53 17 1 60 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 3.94.44.153 47617 443 6 10 1527 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.180 47416 8191 6 17 2669 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 53203 17 1 389 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 55172 53 17 1 85 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.20.192.180 172.22.7.248 8191 47416 6 14 9088 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 55172 17 1 261 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692461000, 'message': '2 858737304353 eni-d90985f5 3.94.44.153 172.22.7.248 443 47617 6 8 6012 1569692461 1569692520 ACCEPT OK', 'ingestionTime': 1569692556396, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692520000, 'message': '2 858737304353 eni-d90985f5 3.94.44.153 172.22.7.248 443 47617 6 2 135 1569692520 1569692580 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692520000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 3.94.44.153 47617 443 6 2 104 1569692520 1569692580 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692520000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 25672 39681 6 591 373795 1569692520 1569693121 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692520000, 'message': '2 858737304353 eni-d90985f5 18.189.137.248 172.22.7.248 443 39605 6 10 4086 1569692520 1569693121 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692520000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 18.189.137.248 39605 443 6 20 6350 1569692520 1569693121 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692520000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 39681 25672 6 593 33192 1569692520 1569693121 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692701000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 41699 389 6 8 840 1569692701 1569692760 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692701000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 41699 6 6 362 1569692701 1569692760 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692701000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 49467 6 6 487 1569692701 1569692760 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692701000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 49467 389 6 8 882 1569692701 1569692760 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 46627 8027 6 2 104 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
