{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 53331 53 17 1 57 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 37307 17 1 384 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 162.247.242.5 172.24.36.195 443 47477 6 13 3793 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 34666 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 59238 17 1 384 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 57663 53 17 1 78 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 52192 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 59073 17 1 133 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 162.247.242.5 47476 443 6 14 2127 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 52942 53 17 1 72 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 39106 17 1 133 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 38645 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 50036 53 17 1 72 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 38455 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 43934 53 17 1 72 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 48667 17 1 286 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 50593 17 1 137 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 162.247.242.5 172.24.36.195 443 47475 6 13 3793 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 57505 53 17 1 57 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 52874 53 17 1 57 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 47010 17 1 384 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 38645 17 1 133 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 32850 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 37307 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 39951 53 17 1 57 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 56313 17 1 133 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 44270 17 1 262 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 59068 17 1 286 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 48667 53 17 1 72 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 50322 17 1 262 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 39106 53 17 1 68 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 53437 17 1 384 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 41382 53 17 1 72 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.36.195 172.24.198.174 49038 53 17 1 78 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 34137 17 1 137 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 54487 17 1 137 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
{'timestamp': 1569836549000, 'message': '2 926668386439 eni-0d2d9e5d 172.24.198.174 172.24.36.195 53 52192 17 1 133 1569836549 1569836605 ACCEPT OK', 'ingestionTime': 1569837082967, 'hostname': 'plnasrattic'}
