{'timestamp': 1569763992000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.21.205.51 135 37019 6 1 40 1569763992 1569764024 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569763992000, 'message': '2 693538057230 eni-7bbc845c 172.21.205.51 172.24.98.145 37019 135 6 1 60 1569763992 1569764024 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764104000, 'message': '2 693538057230 eni-7bbc845c 172.20.194.146 172.24.98.145 123 123 17 1 76 1569764104 1569764144 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764104000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.194.146 123 123 17 1 76 1569764104 1569764144 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764276000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.196.146 123 123 17 1 76 1569764276 1569764324 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764276000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.187 55592 8027 6 2 104 1569764276 1569764324 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764276000, 'message': '2 693538057230 eni-7bbc845c 172.20.192.187 172.24.98.145 8027 55618 6 2 112 1569764276 1569764324 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764276000, 'message': '2 693538057230 eni-7bbc845c 172.20.196.146 172.24.98.145 123 123 17 1 76 1569764276 1569764324 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764276000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.187 55618 8027 6 3 282 1569764276 1569764324 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764276000, 'message': '2 693538057230 eni-7bbc845c 172.20.192.187 172.24.98.145 8027 55592 6 2 104 1569764276 1569764324 ACCEPT OK', 'ingestionTime': 1569764434821, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764408000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 3.16.185.242 54198 443 6 20 6350 1569764408 1569764985 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764408000, 'message': '2 693538057230 eni-7bbc845c 3.16.185.242 172.24.98.145 443 54198 6 10 4010 1569764408 1569764985 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764461000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.21.194.146 123 123 17 1 76 1569764461 1569764505 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764461000, 'message': '2 693538057230 eni-7bbc845c 172.21.194.146 172.24.98.145 123 123 17 1 76 1569764461 1569764505 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.227.218 172.24.98.145 389 33030 6 2 92 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
