{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57040 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33846 443 6 12 1994 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57052 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33845 443 6 16 6088 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 178.128.229.22 172.24.242.50 49988 8443 6 1 40 1569835957 1569836017 REJECT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57039 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33842 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33843 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57046 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57040 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57044 6 3 120 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33839 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33841 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33845 443 6 16 6088 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33847 443 6 12 2004 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57051 6 16 3757 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33838 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33848 443 6 12 1963 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33840 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57051 6 16 3757 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57051 443 6 16 6999 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 34.204.114.79 172.24.242.50 443 57025 6 2 149 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57042 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 51.91.212.79 172.24.242.50 38982 1025 6 1 40 1569835957 1569836017 REJECT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33841 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57039 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33846 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33847 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33839 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57039 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33840 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33841 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57049 443 6 11 1853 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33846 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57025 6 2 149 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57039 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33842 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33844 443 6 13 2063 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57047 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 77.247.110.58 172.24.242.50 5147 5060 17 1 440 1569835957 1569836017 REJECT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 34.204.114.79 57025 443 6 3 120 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33849 443 6 16 5867 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33839 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57036 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57040 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33839 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33849 443 6 16 5867 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57044 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33843 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33842 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57049 443 6 11 1853 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57046 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57036 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33840 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57037 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33847 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33844 443 6 13 2063 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57042 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57051 443 6 16 6999 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57036 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57047 443 6 11 1816 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57053 443 6 11 1842 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57037 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 123 123 17 1 76 1569835957 1569836017 REJECT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57037 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33844 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57052 443 6 11 1870 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33848 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57042 443 6 3 151 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57052 443 6 11 1870 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57046 443 6 11 1852 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33844 6 13 3793 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33849 6 16 3949 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57047 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33846 443 6 12 1994 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57047 443 6 11 1816 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33847 443 6 12 2004 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57053 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33843 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57053 6 14 3677 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33838 6 3 156 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57042 6 4 160 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33842 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.225.60 172.24.242.50 33843 443 6 3 187 1569835957 1569836017 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57056 443 6 11 1824 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 57055 443 6 16 6630 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 57056 6 13 3637 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.225.60 443 33853 6 16 3949 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 162.247.242.5 172.24.242.50 443 33851 6 13 3793 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 162.247.242.5 33850 443 6 12 1978 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.242.50 172.24.227.218 443 57057 6 14 3677 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
{'timestamp': 1569835957000, 'message': '2 647523064133 eni-7f7aef2e 172.24.227.218 172.24.242.50 57059 443 6 16 6738 1569835957 1569836077 ACCEPT OK', 'ingestionTime': 1569836315956, 'hostname': 'NAT-1B'}
