{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63500 6338 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64734 29646 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62853 45434 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64509 45031 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64341 55891 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64145 60932 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63965 59557 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64358 2430 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64603 30158 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64536 48425 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63594 61496 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62927 2889 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64830 30266 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63697 60622 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64413 7108 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
