{'timestamp': 1569601309000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 57230 17 2 272 1569601309 1569601362 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601309000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 42237 53 17 2 122 1569601309 1569601362 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601309000, 'message': '2 858737304353 eni-e1c0e3ac 3.15.130.166 172.22.1.172 443 37592 6 10 4086 1569601309 1569601902 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601309000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 3.15.130.166 37592 443 6 20 6350 1569601309 1569601902 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 40476 17 2 272 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 58707 53 17 2 122 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 58421 53 17 2 164 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 57297 17 2 282 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 58421 17 2 282 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 40476 53 17 2 122 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 58707 17 2 272 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601380000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 57297 53 17 2 164 1569601380 1569601422 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601444000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 50684 17 2 282 1569601444 1569601482 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601444000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 58486 17 2 272 1569601444 1569601482 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601444000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 58486 53 17 2 122 1569601444 1569601482 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601444000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 50684 53 17 2 164 1569601444 1569601482 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601444000, 'message': '2 858737304353 eni-e1c0e3ac 172.23.20.27 172.22.1.172 5672 33536 6 3 164 1569601444 1569601842 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601444000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.23.20.27 33536 5672 6 3 172 1569601444 1569601842 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 38996 53 17 2 164 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 48352 53 17 2 122 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 48352 17 2 272 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 38595 53 17 1 60 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 34.234.109.24 47426 443 6 2 135 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 42498 53 17 2 122 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 52.94.227.219 36240 443 6 14 2116 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 42498 17 2 272 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 38996 17 2 282 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 42340 17 2 473 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 38595 17 1 389 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
